Tweet_count,Username,Text,Created At,Retweets,Likes
11,H.E. Justin Sun 🍌,"As someone who witnessed DOGEcoin's early activity in the community, seeing a U.S. government department ultimately named after it today truly makes me feel like we're living in a giant simulation. Nothing is impossible!",Wed Nov 13 08:19:19 +0000 2024,186,1544
12,H.E. Justin Sun 🍌,有人问，最近我这100U放哪里好呢？来火币吧，随存随提T+0到账，无风险无锁仓无上线，支付宝余额宝一般的用户体验，余币宝，利率年化保底3%，最高10%，熊市之光！,Mon Nov 07 15:25:22 +0000 2022,310,377
13,H.E. Justin Sun 🍌,"I came up with an idea to pick 3 Tron-based meme coin every week on https://t.co/OE3UOaS7Pl based on depth and trading volume, buying 200,000 in each, and then add them to a liquidity pool (LP) and burn them. What do you think?",Mon Mar 18 10:07:52 +0000 2024,297,879
14,H.E. Justin Sun 🍌,Happy Mid-Autumn Festival to all! 🥮May this special occasion fill your hearts with warmth and your homes with joy. Enjoy the beautiful full moon and the delicious mooncakes with your loved ones. Wishing you all a season of togetherness and happiness. #TRON,Fri Sep 29 09:56:47 +0000 2023,52,391
15,H.E. Justin Sun 🍌,Exciting news for the crypto community! @HuobiGlobal has listed @FTX_Official Users' Debt Token (FUD). This bond token represents the top quality FTX debt asset and is set to benefit everyone in the crypto world. Stop FUD and trade FUD on @HuobiGlobal! https://t.co/NXaOAr6HO5,Sun Feb 05 04:55:40 +0000 2023,120,702
16,H.E. Justin Sun 🍌,"Regarding the issue of revenue buyback and burning for @sunpumpmeme , the community previously suggested burning liquidity LP tokens because this approach is used by mainstream meme tokens like SHIB. 

Burning LP tokens has several advantages, including increasing token liquidity",Tue Sep 03 07:36:01 +0000 2024,162,854
17,H.E. Justin Sun 🍌,"For me, when it comes to the whole ""Why TRON, why SunPumpMeme?"" thing, the biggest flex is that $60 billion in TRON USDT @Tether_to . No other blockchain protocol's got a liquidity pool this massive. Memecoin platforms live and die by liquidity, and TRON's got it in spades. USDT",Sun Aug 18 08:58:01 +0000 2024,215,1236
18,H.E. Justin Sun 🍌,"Everything is going back to 2017—Trump is President, BTC, XRP, DOGE and TRX are hitting ATHs, making crypto crazy again. The only difference is that compared to eight years ago, we are stronger, and Trump is stronger too. We won’t let anyone take what belongs to us ever again.",Sat Nov 16 17:30:07 +0000 2024,305,2162
19,H.E. Justin Sun 🍌,火币 Poloniex USDD对于FTX没有任何投资，也没有任何资金往来，用户资产超100%保证金（因为赚钱）火币之前因清退在短时间，完成了数百亿美金用户资金兑付，刚刚一个月前因收购转移也做完了100%保证金审计，是行业内最为安全的交易所了，未来一个月会再做一次默克尔树审计。,Sat Nov 12 05:24:34 +0000 2022,331,722
20,H.E. Justin Sun 🍌,"The success of meme tokens isn't by chance. When every dev can build a community through a fair launch, gain everyone's support, and foster enthusiasm and loyalty, the community can share in the success of the cryptocurrency. Who would still pay for tokens with absurd valuations",Mon Aug 19 19:57:07 +0000 2024,216,1358
